idwishes,caption,score
,Здоровья,3
,Счастья,4
,Любви,5
,"Ни гвоздя ни жезла",-1
,"Не хворай",1
,Удачи,6
,"Красивой бороды",10
,"Чтоб в пробках не стоял",8
,"Меньше оленей(на дороге)",7
,"Больше оленей(в санях)",5
,"Чтобы ты дожил до слеющего нового года",1
,"Чтобы снегурочка не растяла",8
,"Чтоб снегурка не растолстела",5
,"Вкусных cookie",8
,"Теплых носков",2
,"Кэшбэка с алихи",10
,"Упасть с саней в грязь",-5
,"Замернуть в сугробе",-6
,"Прожорливых оленей",-1
,"Чтоб сцыганили твоих оленей",-5
,"Чтоб тебя Санта Клаус побил",-20
,Денег,20
,"Закрыть ипотеку",20
,"Чтоб налоговая не трогала",10
,"Много плохих детей",0
,"Маленькой пенсии",-3
,Артрита,-10
,"Не сгореть в камине",8
,"Хороших мальчиков и девочек",9
,"Зачета по веб программированию",6
,Канализации,8
,"Комуналку поменьше",4
,"Чтоб елка сломалась",-6
,Диареи,-7
,"Чтоб эльфы образовали профсоюз",-9
,"Правой палочки твикс",8
,"Левой палочки твикс",-8
,"Не всретить M&mсов",10
,"Снегурки - феминистки",-8
,"Чтоб у оленей хвост замерз",-5
,"Чтоб у оленей нос замерз",-7
,"Чтоб норм было",-10
,"Сладкого рулета",4
,"Чтоб тебя в деддом сдали",-8
,"Чтоб ты растаял",-10
